2021/03/08 21:51:15 [crit] 5084#8872: *1566 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/howcroatia/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "howcroatia.local", referrer: "http://localhost:3000/"
2021/03/08 21:51:15 [crit] 5084#8872: *1566 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/howcroatia/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "howcroatia.local", referrer: "http://localhost:3000/"
2021/03/08 21:51:15 [crit] 5084#8872: *1648 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/howcroatia/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "howcroatia.local", referrer: "http://localhost:3000/"
2021/03/08 21:51:15 [crit] 5084#8872: *1648 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/howcroatia/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "howcroatia.local", referrer: "http://localhost:3000/"
2021/03/08 21:51:16 [crit] 5084#8872: *1660 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/howcroatia/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "howcroatia.local", referrer: "http://localhost:3000/"
2021/03/08 21:51:16 [crit] 5084#8872: *1660 GetFileAttributesEx() "C:/Users/COBNETCKNN/Local Sites/howcroatia/app/public/<img width=" failed (123: The filename, directory name, or volume label syntax is incorrect), client: 127.0.0.1, server: , request: "GET /%3Cimg%20width= HTTP/1.0", host: "howcroatia.local", referrer: "http://localhost:3000/"
2021/03/11 20:13:02 [error] 10196#13392: *10514 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?context=edit&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10033", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=142&action=edit"
2021/03/15 16:52:31 [error] 11012#10148: *15541 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=91&action=edit HTTP/1.0", upstream: "fastcgi://127.0.0.1:10032", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=91&action=edit"
2021/03/15 16:52:31 [error] 11012#10148: *15545 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /hotel/ HTTP/1.0", upstream: "fastcgi://127.0.0.1:10033", host: "howcroatia.local", referrer: "http://localhost:3000/hotel/"
2021/03/15 16:52:31 [error] 11012#10148: *15545 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /hotel/ HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/hotel/"
2021/03/15 16:52:31 [error] 11012#10148: *15572 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10033", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=162&action=edit"
2021/03/15 16:52:31 [error] 11012#10148: *15541 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=91&action=edit HTTP/1.0", upstream: "fastcgi://127.0.0.1:10033", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=91&action=edit"
2021/03/15 16:52:31 [error] 11012#10148: *15576 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=91&action=edit"
2021/03/15 16:52:31 [error] 11012#10148: *15580 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/hotel/hotel-kukuriku/"
2021/03/15 16:52:31 [error] 11012#10148: *15585 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/hotel/"
2021/03/15 16:52:31 [error] 11012#10148: *15590 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/hotel/"
2021/03/15 16:52:31 [error] 11012#10148: *15592 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=91&action=edit"
2021/03/15 16:52:31 [error] 11012#10148: *15633 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=162&action=edit"
2021/03/15 16:52:51 [error] 11012#10148: *15638 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=91&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=91&action=edit"
2021/03/15 16:52:51 [error] 11012#10148: *15639 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/post.php?post=162&action=edit HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=162&action=edit"
2021/03/15 16:52:51 [error] 11012#10148: *15640 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=162&action=edit"
2021/03/15 16:52:51 [error] 11012#10148: *15641 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=91&action=edit"
2021/03/15 16:52:51 [error] 11012#10148: *15642 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.0", upstream: "fastcgi://php", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/post.php?post=162&action=edit"
2021/03/27 15:48:23 [error] 10476#11780: *14268 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/tools.php?page=regenerate-thumbnails HTTP/1.0", upstream: "fastcgi://127.0.0.1:10032", host: "howcroatia.local", referrer: "http://localhost:3000/wp-admin/tools.php?page=regenerate-thumbnails"
